iter	Passed	Remaining
0	156	782145
1	166	416710
2	177	296269
3	188	235406
4	199	199441
5	209	174670
6	220	157380
7	232	144836
8	244	135822
9	256	127984
10	268	121943
11	280	116596
12	292	112138
13	304	108597
14	316	105286
15	338	105332
16	351	102897
17	364	100750
18	378	99337
19	392	97721
20	404	95994
21	418	94656
22	431	93288
23	444	92101
24	457	91024
25	470	90035
26	483	89142
27	498	88510
28	512	87903
29	527	87433
30	541	86867
31	556	86411
32	573	86248
33	587	85834
34	601	85376
35	617	85105
36	632	84785
37	647	84612
38	662	84306
39	677	84005
40	691	83656
41	706	83396
42	721	83227
43	736	82999
44	751	82723
45	765	82478
46	780	82218
47	794	82005
48	809	81834
49	824	81660
50	840	81534
51	854	81319
52	869	81191
53	885	81089
54	900	80984
55	918	81101
56	933	80990
57	949	80870
58	967	80999
59	985	81165
60	1002	81164
61	1019	81173
62	1036	81188
63	1054	81332
64	1069	81233
65	1085	81154
66	1100	81025
67	1116	80985
68	1132	80898
69	1147	80832
70	1166	80980
71	1182	80911
72	1197	80811
73	1213	80788
74	1229	80742
75	1244	80641
76	1260	80588
77	1276	80569
78	1293	80554
79	1309	80511
80	1325	80490
81	1342	80498
82	1358	80453
83	1374	80434
84	1391	80444
85	1407	80428
86	1424	80434
87	1441	80461
88	1457	80442
89	1475	80473
90	1489	80347
91	1504	80267
92	1519	80170
93	1534	80087
94	1549	80025
95	1565	79978
96	1580	79912
97	1599	79985
98	1615	79994
99	1632	80006
100	1649	79989
101	1665	79963
102	1681	79955
103	1699	80018
104	1716	80015
105	1733	80035
106	1749	80006
107	1766	80012
108	1781	79950
109	1798	79969
110	1815	79964
111	1836	80131
112	1857	80340
113	1878	80532
114	1903	80853
115	1925	81068
116	1948	81321
117	1972	81594
118	1993	81750
119	2013	81902
120	2037	82162
121	2061	82407
122	2081	82516
123	2098	82535
124	2119	82650
125	2138	82729
126	2156	82747
127	2175	82787
128	2194	82862
129	2212	82884
130	2228	82837
131	2245	82827
132	2263	82826
133	2280	82816
134	2298	82816
135	2314	82793
136	2332	82808
137	2350	82827
138	2368	82839
139	2384	82788
140	2401	82767
141	2418	82727
142	2435	82718
143	2451	82663
144	2466	82599
145	2483	82569
146	2500	82536
147	2515	82466
148	2531	82417
149	2546	82351
150	2562	82291
151	2579	82262
152	2595	82226
153	2610	82160
154	2626	82091
155	2643	82071
156	2659	82034
157	2674	81968
158	2690	81924
159	2706	81881
160	2722	81815
161	2737	81765
162	2753	81703
163	2767	81621
164	2783	81559
165	2799	81527
166	2814	81453
167	2829	81389
168	2845	81334
169	2860	81285
170	2876	81225
171	2891	81166
172	2909	81187
173	2925	81150
174	2942	81135
175	2959	81108
176	2975	81074
177	2990	81020
178	3005	80941
179	3019	80859
180	3034	80800
181	3049	80735
182	3063	80648
183	3079	80613
184	3094	80540
185	3109	80471
186	3123	80401
187	3139	80353
188	3154	80294
189	3168	80217
190	3183	80141
191	3197	80082
192	3213	80027
193	3228	79978
194	3244	79943
195	3259	79885
196	3274	79844
197	3290	79792
198	3305	79745
199	3320	79692
200	3336	79664
201	3352	79618
202	3366	79549
203	3381	79491
204	3395	79424
205	3409	79352
206	3424	79291
207	3439	79239
208	3454	79182
209	3469	79132
210	3484	79078
211	3499	79031
212	3515	78998
213	3529	78942
214	3544	78892
215	3559	78834
216	3574	78790
217	3589	78734
218	3604	78683
